alpha,beta,solver_type,mc_run,distance_mean,distance_std,distance_max,a1_acc_mean,a1_acc_std,a2_acc_mean,a2_acc_std,scenario_time,scenario_time_std,confidence_mean,confidence_std,N,dt_Solver,dt_Sim,a1_acc_limit,Human_PreDefined_Traj,Human_RandomWalk_Traj,d_init,Tf,pp_theta,pp_factor,Nmc,theta_des,x1_init_x,x1_init_y,x2_init_x,x2_init_y,x1_des_x,x1_des_y,max_payload_penetration,num_obstacles
0.5,0.5,Centralized,63,0.06744157872450558,0.03661209793771985,0.15959162511047653,2.6346576937418673,1.3019626148902357,4.386417267015397,3.5123050781532212,7.999999999999988,0.0,0.9449833495132842,0.09590328380326761,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.08897526771718367,1.0
0.5,0.5,Centralized,64,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.2000000000000015,-1.0,0.9992677097002093,0.0024174041828510847,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.12399358984119013,1.0
0.5,0.5,Centralized,65,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.500000000000001,-1.0,0.9950498429777276,0.011028421815556912,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.1009194878761201,1.0
0.5,0.5,Centralized,66,0.04941204735189351,0.04342458964328102,0.15288189619880121,2.5062211991187975,1.3836852244239393,3.4777383118922978,3.3652513725115383,9.699999999999982,0.0,0.927833141287336,0.13791463322902364,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.0161918409480879,1.0
0.5,0.5,Centralized,67,0.0670743453144293,0.04137077316908577,0.17179796376712897,2.435265725174629,1.3841616425377687,5.165746169115791,4.674282510124449,10.09999999999998,0.0,0.8708508565533029,0.20830996784387085,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.07799037816033871,1.0
0.5,0.5,Centralized,68,0.06766163540453256,0.030211207839276985,0.13152554997691634,2.674813906285701,1.263738095762151,3.5200974824571585,2.809564279230147,8.199999999999987,0.0,0.9813273714552118,0.042860604927098846,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.03494396801366989,1.0
0.5,0.5,Centralized,69,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.7000000000000004,-1.0,0.9947324088729701,0.021700036715837732,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,9.746011053746173e-09,1.0
0.5,0.5,Centralized,70,0.07249603984587846,0.03775251773102142,0.13936264746263127,2.5528414854452457,1.3649635268954248,3.1379227645880237,2.80507255428416,10.09999999999998,0.0,0.906170426612315,0.13792318482698174,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.017020366472806914,1.0
0.5,0.5,Centralized,71,0.06216614621174186,0.04053691720275453,0.15083107261535433,2.6338030790675013,1.2576543471715969,3.453130391028239,3.0852173343082527,8.899999999999984,0.0,0.9262098015882837,0.1357740597502483,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.038572506436416576,1.0
0.5,0.5,Centralized,72,0.05048977270747626,0.030280757899043147,0.108370644900873,2.48352527208536,1.1431138671481138,2.90077251134266,2.8448820957590115,9.099999999999984,0.0,0.9998097820760248,0.0014174030242041856,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,9.839463577243635e-09,1.0
0.5,0.5,Centralized,73,0.06315646657742562,0.03145367491517432,0.1264552314974412,2.507729181746044,1.246521829482672,3.707618111457658,3.198808125011707,7.499999999999989,0.0,0.9936132010419115,0.013463678215843329,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.05540928468146217,1.0
0.5,0.5,Centralized,74,0.05767099828654587,0.03056139976640089,0.11742311880583589,2.704298001568729,1.3436558376578294,3.941303724807641,2.531680760772572,7.699999999999989,0.0,0.9989514318263895,0.003943144345271462,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.0030744531371094674,1.0
0.5,0.5,Centralized,75,0.07072537379523024,0.03931385703375398,0.17465494147672667,2.6438049409767235,1.1336919789245647,3.836946640727841,3.1242158027493163,10.09999999999998,0.0,0.8800661032981779,0.1995853359367668,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.025052180379251388,1.0
0.5,0.5,Centralized,76,0.053966001083565314,0.03656830411152931,0.1400849892785354,2.7333342152409186,1.3703457109881545,3.3048670307240355,2.862222892970234,7.999999999999988,0.0,0.9788791089377686,0.05575568680188401,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.061277084487131206,1.0
0.5,0.5,Centralized,77,0.08936008553554424,0.048325532207055495,0.1819139471056226,3.3883504852791417,1.3854326454148405,4.737415318867093,4.325827250620832,10.09999999999998,0.0,0.5149443434880419,0.3606330484744549,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.07356142616303535,1.0
0.5,0.5,Centralized,78,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.6,-1.0,0.8485138790700597,0.2874640457448548,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.005602457498949109,1.0
0.5,0.5,Centralized,79,0.059739427002915714,0.034570675244069544,0.1290038459825804,2.5638598086319573,1.2796120726190021,3.4727936232494843,2.852662553308443,8.599999999999985,0.0,0.990142930210571,0.020356242168652366,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.03721009329114833,1.0
0.5,0.5,Centralized,80,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.3000000000000007,-1.0,0.9937109130485552,0.017263002122879643,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,9.238686038415267e-09,1.0
0.5,0.5,Centralized,81,0.06220068054351485,0.04057069956010991,0.14934682234610852,2.5143934807615675,1.3573456013504515,3.7573075275245866,3.512823030548024,9.699999999999982,0.0,0.9224973668553871,0.13839749428235215,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.034626573104701186,1.0
0.5,0.5,Centralized,82,0.07595460106838313,0.040930526778787,0.17051538214076967,2.67580804556972,1.4291252925997546,5.574391247469429,4.61850678052587,10.09999999999998,0.0,0.7679396891464352,0.2644215424585665,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.09231170497612129,1.0
0.5,0.5,Centralized,83,0.06689051601418963,0.02308175690423202,0.11492002582954441,2.705197654269008,1.4041338944071624,3.512167175895216,2.6277666412287695,7.899999999999988,0.0,0.9996008718144431,0.0018408970535256466,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.003719543972138639,1.0
0.5,0.5,Centralized,84,0.055760035692047086,0.02976407052993185,0.12058236800894395,2.6338658870287115,1.368588716320713,3.963254799458441,3.7386359056119467,9.699999999999982,0.0,0.9978502284059162,0.007646709095573054,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.09165231249146777,1.0
0.5,0.5,Centralized,85,0.06689240130315875,0.05038627981654592,0.24103550903767346,3.1236152482203203,1.5224671342693181,4.402344547750399,2.9406565891785252,7.999999999999988,0.0,0.8337281277185664,0.22030886818925116,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,9.280341883854959e-09,1.0
0.5,0.5,Centralized,86,0.06982340526170265,0.04019708629973872,0.1579797557616156,2.7320713514285533,1.2400884047968,3.8855262724772044,3.6152222125940527,9.699999999999982,0.0,0.9076436247418297,0.15955239639656024,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.04275430188394708,1.0
0.5,0.5,Centralized,87,0.06661533369950448,0.03931963410093808,0.20573910078447,2.8966319770197457,1.4481586810455773,3.7490211337332617,2.8773601775145163,10.09999999999998,0.0,0.9000136990805581,0.16757228165962965,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.006051062233893623,1.0
0.5,0.5,Centralized,88,0.0689589718478507,0.037720317176800064,0.15520972773642416,2.5152736701605374,1.2510549754201437,4.189676484204524,3.4962895873913435,10.09999999999998,0.0,0.9225730727735497,0.14620173378656134,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.04490321426491323,1.0
0.5,0.5,Centralized,89,0.042893456377375516,0.027356892592543487,0.10912659279761794,2.4516094692611987,1.296566401422923,2.8679155514646943,2.5903339650505153,9.499999999999982,0.0,0.9998945264181321,0.0009781034384664792,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,9.792939681396717e-09,1.0
0.5,0.5,Centralized,90,0.06403098389126378,0.03886901211578524,0.1606608509222136,2.963388258942167,1.2915313554649148,4.137422219953631,3.9421708540818132,9.699999999999982,0.0,0.9425820294134564,0.12086047468125788,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.031118745611156573,1.0
0.5,0.5,Centralized,91,0.052285182430231204,0.031625485752854544,0.1025757843221049,2.6398515903709923,1.275507726181954,3.1203343865132283,2.618038578876273,7.799999999999988,0.0,0.9999492705723467,0.0003276600482914065,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.014080148223575839,1.0
0.5,0.5,Centralized,92,0.0713239022781061,0.033152011795826684,0.15782217501922924,2.427153855660855,1.3868222958639629,4.334308653806761,3.8828776880944535,10.09999999999998,0.0,0.950876934259559,0.08933094066989561,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.03464314675522534,1.0
0.5,0.5,Centralized,93,0.0782972242284268,0.03637877290748082,0.15772717156468108,2.674889292032147,1.1941844843949796,4.166747255923399,3.5630257951529796,10.09999999999998,0.0,0.7912195046371868,0.2563829700974591,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.003658011596494315,1.0
