alpha,beta,mc_run,distance_mean,distance_std,a1_acc_mean,a1_acc_std,a2_acc_mean,a2_acc_std,scenario_time,scenario_time_std,confidence_mean,confidence_std
1.000000000000000056e-01,1.000000000000000056e-01,1.300000000000000000e+01,6.955442260335165550e+00,3.415342674437161358e-02,1.349857347788279593e+00,9.511454691523091309e-01,4.099824687780126098e+00,2.661968573258945536e+00,8.299999999999986500e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,1.400000000000000000e+01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.079999999999997762e+01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,1.500000000000000000e+01,6.955903613926765594e+00,3.322069007972335702e-02,1.541883748596559300e+00,8.607702068860452194e-01,4.145393003675954091e+00,2.834475531091247280e+00,8.699999999999985079e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,1.600000000000000000e+01,6.945329529782730660e+00,2.271944160143292424e-02,1.487220956942439498e+00,9.761208284358776632e-01,4.658020133221600467e+00,3.052625605955331167e+00,6.699999999999992184e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,1.700000000000000000e+01,6.958125325653803372e+00,3.613889521750546924e-02,1.320323397195786397e+00,9.437630045976497239e-01,4.286994666072143190e+00,2.693893444339773957e+00,6.999999999999991118e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,1.800000000000000000e+01,6.966964046546332057e+00,3.984289049168058400e-02,1.561848881051866922e+00,9.528068468627203247e-01,4.499454551058165386e+00,2.871169347991759491e+00,6.599999999999992539e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,1.900000000000000000e+01,6.957881127821171852e+00,2.795360632509005794e-02,1.514343946063846813e+00,8.965560491388144815e-01,4.438758305376542701e+00,2.656192142249701682e+00,6.799999999999991829e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,2.000000000000000000e+01,6.950374355078399624e+00,2.678414837815884519e-02,1.582813360780402245e+00,9.009402031088598051e-01,4.556486741475644919e+00,2.980747297638867810e+00,6.699999999999992184e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,2.100000000000000000e+01,6.948948171471347024e+00,1.899292943452791926e-02,1.424580933337859179e+00,7.714422175336601573e-01,4.561851617629021582e+00,2.781388652693778329e+00,6.599999999999992539e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,2.200000000000000000e+01,6.946880950728505866e+00,2.196540967663267174e-02,1.417651121853847895e+00,9.278780278248829338e-01,4.614107551130713247e+00,3.194157017276177069e+00,6.699999999999992184e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,2.300000000000000000e+01,6.966725450033931288e+00,4.634737440200118602e-02,1.528975611540636992e+00,1.011930441205081577e+00,4.445488864131855067e+00,3.185206274445551156e+00,8.799999999999984723e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,2.400000000000000000e+01,6.962830464076192882e+00,4.067742731006879914e-02,1.726258935020528407e+00,9.630860785330758178e-01,4.727142306207797517e+00,3.141360474756970333e+00,6.599999999999992539e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,2.500000000000000000e+01,6.946660744314295144e+00,2.509916313367057533e-02,1.512521479704570293e+00,9.578310158234667471e-01,4.885105363772142439e+00,3.468860880053162177e+00,6.799999999999991829e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,2.600000000000000000e+01,6.961918815310319530e+00,4.493886362013432140e-02,1.582732836651085551e+00,8.932718217169240971e-01,4.544621305400045941e+00,2.969213102186143427e+00,7.299999999999990052e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,2.700000000000000000e+01,6.960965712763109714e+00,4.073195226497961646e-02,1.584283106967842469e+00,8.814779045229841348e-01,4.237012605537318954e+00,2.950053823497952532e+00,8.699999999999985079e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,2.800000000000000000e+01,6.954563438917564788e+00,3.301830793651092805e-02,1.431404786647245020e+00,8.289088702232070283e-01,4.361648459193840033e+00,2.948638934068234629e+00,8.599999999999985434e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,2.900000000000000000e+01,6.952957069918128674e+00,2.665102413533363898e-02,1.508644495643967520e+00,9.504302702184200813e-01,4.605912867428148871e+00,2.775821266013470456e+00,6.699999999999992184e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,3.000000000000000000e+01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.259999999999997122e+01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,3.100000000000000000e+01,6.960614268440936669e+00,3.599515498292037152e-02,1.249683911941871672e+00,8.920676250534801399e-01,3.927568202672071962e+00,2.766164600560852005e+00,8.799999999999984723e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,3.200000000000000000e+01,6.955924110066018962e+00,2.912447386184974923e-02,1.482468817437865960e+00,9.346005529216876440e-01,4.134795250348679119e+00,2.566308955715206785e+00,8.499999999999985789e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,3.300000000000000000e+01,6.954945201622077633e+00,3.735417868549661957e-02,1.419245991546359775e+00,8.392885125149186498e-01,4.353026487026770752e+00,2.836066917791409736e+00,9.199999999999983302e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,3.400000000000000000e+01,6.960002940219043310e+00,4.004450444432455791e-02,1.420585355251982929e+00,8.838628760014483055e-01,4.285647250696285049e+00,2.971955909848257527e+00,8.399999999999986144e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,3.500000000000000000e+01,6.951369509186986484e+00,2.889618147163289241e-02,1.596195577521749343e+00,8.978373983418489468e-01,4.607590607707486186e+00,2.944413092500724360e+00,6.599999999999992539e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,3.600000000000000000e+01,6.947993211534715385e+00,2.404009658525148654e-02,1.355034726852440974e+00,8.026635353868077916e-01,4.471755747145962800e+00,2.915128566948681055e+00,6.799999999999991829e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,3.700000000000000000e+01,6.969788686721100746e+00,4.694092690034808862e-02,1.534648653449714795e+00,8.932195917719197853e-01,4.237219857637421150e+00,3.063458047058535527e+00,8.999999999999984013e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
