alpha,mc_run,distance_mean,distance_std,a1_acc_mean,a1_acc_std,a2_acc_mean,a2_acc_std,scenario_time,scenario_time_std
5.000000000000000278e-02,1.100000000000000000e+01,5.985808632638534021e+00,1.448026140274310744e-02,2.247781634734733913e+00,1.250882174369204014e+00,5.115629073756283063e+00,3.976614897757544398e+00,6.299999999999993605e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.200000000000000000e+01,5.989661921429689784e+00,1.206013064170466387e-02,2.070830312777669047e+00,1.081833841377026317e+00,4.570893996657890312e+00,3.827902310770196159e+00,7.099999999999990763e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.300000000000000000e+01,5.987855958107636489e+00,1.165772194999405327e-02,1.917418590181961813e+00,1.127228060776559682e+00,4.320994447590086551e+00,3.748906265256671588e+00,6.799999999999991829e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.400000000000000000e+01,5.992490347596967304e+00,1.157258716032529867e-02,2.106874348806473840e+00,1.121907376648717758e+00,4.471811908974403948e+00,3.444711749387018074e+00,6.499999999999992895e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.500000000000000000e+01,5.991482413908161497e+00,1.512512589756383023e-02,2.384758533727510343e+00,1.130084275666449978e+00,5.326786181822097177e+00,3.793238679170540362e+00,6.599999999999992539e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.600000000000000000e+01,5.988502747673954296e+00,1.151542850442772471e-02,2.200819289077288854e+00,1.127540290648484378e+00,5.715832532566530233e+00,3.830107861172530104e+00,6.399999999999993250e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.700000000000000000e+01,5.988451937244425594e+00,1.378124917556374646e-02,2.136503044701554721e+00,1.154769644969379394e+00,5.002119830191276151e+00,4.327189801115237877e+00,6.599999999999992539e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.800000000000000000e+01,5.986466789506630803e+00,1.401899937397788239e-02,2.191069749111079101e+00,1.140950735268760896e+00,5.515823938544699878e+00,4.233945432233102046e+00,5.699999999999995737e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.900000000000000000e+01,5.992110301580263254e+00,1.146480653211543951e-02,2.310125016836219292e+00,1.152277726108035472e+00,6.158202209877796207e+00,4.634797205316038671e+00,5.999999999999994671e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.000000000000000000e+01,5.987720540183369522e+00,1.187450268376834608e-02,2.292621201575171241e+00,1.194088338726772669e+00,5.510591961710903597e+00,4.579281111095865775e+00,6.099999999999994316e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.100000000000000000e+01,5.989006296126436091e+00,1.146892237204851644e-02,2.177178540441310872e+00,9.512436702158353352e-01,4.749329839049797997e+00,4.012573464882053464e+00,6.099999999999994316e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.200000000000000000e+01,5.986105965137312523e+00,1.242687276677252074e-02,2.265374165314844923e+00,1.106036102173488800e+00,4.946838997212079647e+00,4.103578205898201325e+00,6.199999999999993960e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.300000000000000000e+01,5.984091105626075269e+00,1.420008281279833313e-02,2.197426240065958325e+00,1.192375079157440565e+00,5.356915789104405690e+00,4.420241623948147236e+00,6.699999999999992184e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.400000000000000000e+01,5.985288416990553806e+00,1.415248954472237905e-02,2.550678417827357602e+00,1.282648355840886767e+00,6.460773545527824346e+00,4.574578460032063809e+00,5.799999999999995381e+00,0.000000000000000000e+00
