alpha,beta,solver_type,mc_run,distance_mean,distance_std,a1_acc_mean,a1_acc_std,a2_acc_mean,a2_acc_std,scenario_time,scenario_time_std,confidence_mean,confidence_std,N,dt_Solver,dt_Sim,a1_acc_limit,Human_PreDefined_Traj,Human_RandomWalk_Traj,d_init,Tf,pp_theta,pp_factor,Nmc,theta_des,x1_init_x,x1_init_y,x2_init_x,x2_init_y,x1_des_x,x1_des_y,max_payload_penetration,num_obstacles
0.05,0.5,Centralized,27,2.9723867234870993,0.05048543764145672,1.7248043142932716,1.0583758372237686,3.8726751447484458,3.2391140491202317,7.899999999999988,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.023580600312160194,1.0
0.05,0.5,Centralized,28,2.968812811014137,0.05173313081292843,1.6163890433267718,0.8832674972985544,3.6897402943764726,3.430568210373934,7.799999999999988,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.001524777635678043,1.0
0.05,0.5,Centralized,29,2.970058283989629,0.054615270042967505,1.7086739097793457,0.9838435807579259,3.8498538682323984,3.3382092781908725,7.899999999999988,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.5,Centralized,30,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.5,-1.0,0.8430316767755979,0.191588394972286,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.5,Centralized,31,2.9593696080928424,0.04414130469536752,1.6015694976680925,0.8581467509211677,3.8232155725763235,2.8288617895537587,8.599999999999985,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.5,Centralized,32,2.972990124239533,0.04994778830267693,1.7504305952655126,0.984393205264914,3.575090151531113,3.0277391389061084,7.999999999999988,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.5,Centralized,33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.000000000000002,-1.0,0.9947631463459551,0.024833689294310332,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.054288278530106815,1.0
0.05,0.5,Centralized,34,2.96707398023856,0.05825560009858535,1.7655625437940352,1.039927765057422,3.9395649191888635,3.62336853448795,7.999999999999988,0.0,0.9992775801149041,0.003171926740637566,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.09510456468377532,1.0
0.05,0.5,Centralized,35,2.9783755624403323,0.04649407532800941,1.8581890569376416,0.8740777439716226,3.348054943572902,2.8787991311753998,6.699999999999992,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.006961245279060779,1.0
0.05,0.5,Centralized,36,2.9709459477831537,0.05017891121574943,1.5766961700158004,0.8136446925214494,3.709477629719057,3.285137409668748,7.799999999999988,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.5,Centralized,37,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.999999999999988,-1.0,0.8876772679987975,0.1571085466178247,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.5,Centralized,38,2.9879580656544285,0.03924246192175331,1.7195744257778733,0.8905468491345874,2.9086395523318083,2.7371331571338193,6.299999999999994,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.007145820254750412,1.0
0.05,0.5,Centralized,39,2.9589575981101364,0.03843466228556372,1.9787434955987082,0.9803371165171448,4.031150892568022,3.506569889481556,7.599999999999989,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.009452138042047087,1.0
0.05,0.5,Centralized,40,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.4,-1.0,0.9752095724432078,0.05002126058923629,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.5,Centralized,41,2.9799254311353933,0.04133914673112196,1.8878028982714101,0.9151647431785056,3.8281461523583724,3.421305488949052,6.499999999999993,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.02053416563400068,1.0
0.05,0.5,Centralized,42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.899999999999999,-1.0,0.9280349530649894,0.10275525888517088,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.5,Centralized,43,2.9816236395405897,0.04046477503381319,1.9369562640844777,0.9421574701081914,3.464819209247293,3.2001206283230608,6.8999999999999915,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.029573022764336265,1.0
0.05,0.5,Centralized,44,3.0009573938307117,0.07224450364687346,2.365166311731391,1.4486227525125075,5.0327769681672745,5.124026503266579,10.09999999999998,0.0,0.9546681452185942,0.08871425114560631,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,1.0
