alpha,beta,solver_type,mc_run,distance_mean,distance_std,a1_acc_mean,a1_acc_std,a2_acc_mean,a2_acc_std,scenario_time,scenario_time_std,confidence_mean,confidence_std,N,dt_Solver,dt_Sim,a1_acc_limit,Human_PreDefined_Traj,Human_RandomWalk_Traj,d_init,Tf,pp_theta,pp_factor,Nmc,theta_des,x1_init_x,x1_init_y,x2_init_x,x2_init_y,x1_des_x,x1_des_y,max_payload_penetration,num_obstacles
0.05,0.5,Centralized,21,2.9992143559133253,0.04593538442020638,1.7317956325166572,0.7252074894398206,2.3777070537895155,2.4594405051756407,6.499999999999993,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,22,3.001457252646125,0.04967478052559255,1.7541270978122172,0.9411414240594569,2.8243438230172035,2.734250624163745,6.5999999999999925,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,23,2.99863984983642,0.057013462154005344,1.8272741242311963,1.0389608574613773,3.120139525710346,2.907339054334926,6.8999999999999915,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,24,2.9907739447186628,0.04336292373112974,2.017536005481099,0.9865514228281629,2.843787027704205,2.789764832358396,6.399999999999993,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,25,2.9892561218942006,0.048339657476045614,1.6665972145544283,0.9835232018408925,2.5683236650546983,2.5856857240497497,6.399999999999993,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,26,3.0159089810551425,0.04399358588158639,1.7041318067634088,0.8466200181603956,2.7747428189403234,2.768670646578454,7.29999999999999,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,27,3.00613240298074,0.05017507639631469,1.7816926557081105,1.0592051453606677,2.8816399359575784,2.6952737700922733,6.799999999999992,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,28,3.006755795280101,0.04854735094677927,1.63428051261122,0.803298564542561,2.609602347816125,2.618078117741116,6.8999999999999915,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,29,2.9969192994560245,0.04581001568770524,1.7076958272889537,0.9561273167009292,2.709728910557604,2.673248919931785,6.5999999999999925,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,30,3.011035790769469,0.05152313277073602,1.589945924234076,0.8418911648552229,2.7728036575274593,2.5686472597173378,7.19999999999999,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,31,3.017109986272695,0.04621809887692183,1.5673227356819515,0.9362322841190917,2.352648168505934,2.4685171607456433,7.39999999999999,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
